City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,hillsborough,37.5741,-122.3794,14.94,79,100,3.6,US,1702343162
143,sumbawa besar,-8.5,117.4333,30.17,66,46,0.93,ID,1702343163
144,remire-montjoly,4.9167,-52.2667,27.02,83,20,2.06,GF,1702343163
145,lospalos,-8.5186,127.0025,26.53,75,100,1.64,TL,1702343164
146,vorgashor,67.5833,63.95,-16.88,91,100,6.66,RU,1702343029
147,tiksi,71.6872,128.8694,-21.58,100,100,3.69,RU,1702343164
148,utrik,11.2278,169.8474,27.19,71,51,8.2,MH,1702343165
149,conduaga,8.862,117.4893,28.61,67,10,1.6,PH,1702343167
150,jackson,42.4165,-122.8345,10.58,90,84,0.32,US,1702343168
151,haenam,34.5711,126.5989,10.59,83,100,5.52,KR,1702343168
152,slave lake,55.2834,-114.769,-9.01,67,100,3.6,CA,1702343142
153,hithadhoo,-0.6,73.0833,27.35,77,93,2.4,MV,1702343171
154,inari,68.906,27.0288,-13.89,98,38,2.12,FI,1702343001
155,san patricio,28.017,-97.5169,17.91,52,100,3.05,US,1702343173
156,amalapuram,16.5833,82.0167,19.96,91,11,1.51,IN,1702343174
157,port lincoln,-34.7333,135.8667,20.71,49,11,5.72,AU,1702343017
158,valdivia,-39.8142,-73.2459,14.05,99,100,1.21,CL,1702342891
159,alpine,32.835,-116.7664,17.08,51,0,0.0,US,1702343175
160,crane,31.3974,-102.3501,12.52,25,32,4.16,US,1702343041
161,edson,53.5835,-116.4356,-5.92,86,40,1.54,CA,1702343176
162,afaahiti,-17.75,-149.2833,29.93,81,80,9.84,PF,1702343176
163,ouddorp,51.8117,3.9347,7.24,92,7,4.28,NL,1702343176
164,cabedelo,-6.9811,-34.8339,26.37,74,0,5.11,BR,1702343177
165,aripuana,-9.1667,-60.6333,22.33,97,90,0.88,BR,1702343177
166,cascais,38.6979,-9.4215,19.17,98,100,6.26,PT,1702343178
167,puerto aysen,-45.4,-72.7,9.22,98,100,2.06,CL,1702342952
168,al hufuf,25.3646,49.5653,13.19,50,0,0.0,SA,1702343178
169,dickson,36.077,-87.3878,4.29,71,40,0.89,US,1702343178
170,yinchuan,38.4681,106.2731,-0.25,38,0,1.46,CN,1702343094
171,weno,7.4515,151.8468,25.97,94,100,4.12,FM,1702343019
172,chiredzi,-21.05,31.6667,21.17,87,100,1.28,ZW,1702342941
173,isangel,-19.55,169.2667,27.06,61,75,6.69,VU,1702343179
174,yuzhno-kurilsk,44.0306,145.8556,0.76,76,100,5.4,RU,1702343056
175,hampton bays,40.869,-72.5176,5.51,65,75,8.94,US,1702343180
176,klyuchi,52.2667,79.1667,-24.48,87,46,6.35,RU,1702343180
177,gubkinskiy,64.434,76.5026,-26.65,86,100,5.43,RU,1702343181
178,buala,-8.145,159.5921,29.45,66,100,0.79,SB,1702343181
179,nuku'alofa,-21.1333,-175.2,29.19,61,40,5.66,TO,1702343181
180,udachny,66.4167,112.4,-25.02,97,100,4.08,RU,1702342990
181,olonkinbyen,70.9221,-8.7187,-0.09,98,100,2.83,SJ,1702343182
182,ciudad ayala,18.75,-98.9833,20.7,61,99,1.94,MX,1702343182
183,kuqa,41.7278,82.9364,-3.72,63,99,0.69,CN,1702343183
184,qui nhon,13.7667,109.2333,24.18,83,100,2.17,VN,1702343183
185,castillos,-34.1667,-53.8333,17.97,93,100,4.45,UY,1702343184
186,la passe,45.5549,-0.8967,14.13,89,100,4.53,FR,1702343184
187,sur,22.5667,59.5289,22.28,63,6,0.97,OM,1702343184
188,kalmunai,7.4167,81.8167,24.6,92,100,3.42,LK,1702343184
189,badger,64.8,-147.5333,-6.07,82,100,3.6,US,1702343185
190,sitka,57.0531,-135.33,7.94,71,100,6.17,US,1702342959
191,soio,-6.1349,12.3689,26.55,80,100,2.06,AO,1702343185
192,los osos,35.3111,-120.8324,17.13,66,0,7.72,US,1702343186
193,gabu,12.2833,-14.2167,20.88,53,0,2.38,GW,1702343186
194,bellavista,-7.0561,-76.5911,24.96,85,79,0.62,PE,1702343186
195,vakarai,55.6035,23.8213,-0.71,99,100,2.21,LT,1702343187
196,bilibino,68.0546,166.4372,-20.63,95,100,1.49,RU,1702343187
197,argo,37.6333,22.7333,10.44,82,11,1.43,GR,1702343187
198,vallenar,-28.5708,-70.7581,20.33,51,0,1.07,CL,1702342940
199,la ronge,55.1001,-105.2842,-11.86,61,0,6.69,CA,1702343188
200,revda,56.801,59.9303,-31.73,96,25,1.45,RU,1702343188
201,nemuro,43.3236,145.575,1.33,99,100,6.9,JP,1702343188
202,prince rupert,54.3161,-130.3201,4.83,79,0,9.77,CA,1702343189
203,lebu,-37.6167,-73.65,12.83,90,100,2.89,CL,1702343183
204,colesberg,-30.72,25.0972,15.49,62,0,2.51,ZA,1702343189
205,camocim,-2.9022,-40.8411,26.64,78,19,6.86,BR,1702343190
206,tolanaro,-25.0319,46.9987,25.04,94,20,3.09,MG,1702343190
207,kailua-kona,19.6406,-155.9956,28.06,87,30,1.34,US,1702342923
208,malango,-2.9627,119.9001,25.95,73,88,0.61,ID,1702343191
209,igarka,67.4667,86.5833,-22.87,98,100,3.85,RU,1702343191
210,pavilosta,56.8879,21.1859,-2.05,97,100,3.56,LV,1702343191
